# version: v1.8.23
id	name	diff	badge	cover
77471	Sound Chimera	18.3	AT Lv.18	
77421	Project Re:incarnation	18.7	AT  Lv.18	
76993	Glacier	19.1	AT Lv.19	
76959	Dimension Hacker	18.4	AT Lv.18	
76476	electric hornet	18.2	AT Lv.18	
75944	Never Say Goodbye	18.1	AT Lv.18	
75521	Kizuato	18.6	AT Lv.18	
75482	靈	18.2	AT  Lv.18	
75244	時ノ旅ビト (feat. 重音テト)	19.2	AT  Lv.19	
75168	墜光の都市より	17.3	AT  Lv.17	
74407	One of Us	17.3	IN  Lv.17	
73971	霹靂神ソフトウェア	18.4	AT Lv.18	
73857	蒼天	18.5	AT Lv.18	
73703	Xaleid◆scopiX	18.9	AT Lv.18	
73599	Revelation	17.3	AT Lv.17	
73521	せかいから____がきえるとき	18.2	AT Lv.17+	
73397	Sendan Life(かたぎり Bootleg)	17.9	AT Lv.17+	
73339	Silentphobia	18.7	AT Lv.18	
73223	Tiny Fate	17.7	AT Lv.17	
73103	Amphisbaena	17.7	ST Lv.17+	
73063	憑黄泉	17.8	AT Lv.17	
72993	SPOOKY Abyssal Vow	18.5	AT Lv.18	
72988	Melodiniq	18.5	ULT  Lv.18	
72750	remИant	17.8	AT  Lv.17	
72744	Recollect Lines	17.9	AT  Lv.18	
72696	Horizon	17.6	AT  Lv.17	
72681	音速宇宙旅行	19.0	AT Lv.19	
72663	Anamnesis	17.0	AT  Lv.17	
72600	Seimei no Genya	18.5	AT Lv.18	
72591	τ (tau)	17.0	AT Lv.17	
72563	Bring Our lgnition Back(1.1x)	18.6	AT Lv.18	
72551	marguerite inorganique	18.5	AT  Lv.18	
72460	天演论	17.8	AT Lv.17	
72445	PlayStation 8	17.7	AT  Lv.17	
72277	Fatum Cantabile	17.2	AT Lv.17	
72227	Monolith	18.8	AT  Lv.18	
72106	一瞬֍幻夢	17.3	AT Lv.17	
72015	Gyaku_	17.7	AT Lv.17	
71994	c.s.q.n. (2026 Remaster)	17.0	AT  Lv.17	
71982	月葬	17.6	AT Lv.17	
71887	Data Corrosion -Ascension or Oblivion-	17.8	AT Lv.17	
71873	B1K2-Z3T4	17.4	AT Lv.17	
71803	一瞬֍幻夢	17.9	AT  Lv.17	
71707	Resistance	17.0	AT Lv.17	
71642	Delete The World	17.1	Delete  Lv.16	
71500	蒼天	17.9	AT Lv.18	
71230	HYPER MEMORIES	19.0	AT Lv.19	
70378	冥(かめりあ's 甦 Remix)	18.2	AT Lv.甦	
70220	八荒 ~The Glorious World~	18.6	AT Lv. [Desolate]	
69901	星降る夜と一輪の花	18.1	AT Lv.18	
69495	Unraveling Stasis	18.5	AT Lv.18	
69442	YOUNITHM	18.0	AT Lv.18	
69413	熱風	17.1	AT Lv.17	
68240	Calamity of the Mystic Garden : Doom	18.5	AT Lv.18	
68096	Dextroy	18.1	AT Lv.18	
68007	Fragments of You	17.3	AT Lv.17	
67951	TECHNiCAL REVOLUTiON	17.6	AT Lv.17	
67892	色を喪った街 ～遺街～	19.1	THE LAST : LV. 19	
67873	ΞxistentialisΣ	17.9	AT Lv.17	
67836	GEOLOGICAL//IRRESOLUTION	17.6	AT Lv.17	
67817	siren's eye	17.8	AT Lv.17+	
67781	Silentphobia	17.1	AT Lv.17	
67776	Atomic Disassembler	19.3	TIEBREAKER	
67763	I	18.4	AT Lv.17	
67573	レグルスリベリオン	17.3	AT Lv.17	
67048	The Everlasting Rain	17.5	AT Lv.17+	
66995	分からない	18.3	AT Lv.18	
66968	Stellaria	18.2	AT Lv.18	
66643	it brings back memories. though there was nothing in those days.	18.3	AT Lv.18	
66040	AstrøNotes.	18.4	AT Lv.18	
65917	The Devil Incarnate	18.4	AT Lv.18	
65417	caesura.	18.2	AT Lv.18	
65384	六兆年と一夜物語	17.7	AT Lv.17	
64705	MEGALOVANIA(Camellia Remix)	18.5	RE Lv.18	
64257	astral.exe	17.4	AT Lv.17	
64253	十拳剣	17.8	AT Lv.17	
64248	夢現妄想世界	18.4	AT Lv.17	
63894	さよなら異世界の旅	18.2	AT Lv.18	
63844	Cierr's Lac	18.2	AT Lv.18	
63825	EDM Jumpers	18.5	AT Lv.18	
63756	燐寸と緞帳	17.9	AT Lv.17	
63466	Upload Your Mind::Download My Soul	18.3	AT Lv.17+	
62774	hyperreality	19.0	AT Lv.19	
62748	ZENITHALIZE	18.0	AT Lv.18	
62706	Primordial Complex	18.6	AT Lv.18	
62506	蒼天	17.6	AT Lv.18	
62470	星降る夜と一輪の花	17.1	AT Lv.17	
61763	MarbleBlue.	17.6	AT  Lv.17	
61630	Rhythmos Ananke	18.4	AT Lv.17	
61057	Scorpion Dance	17.9	AT Lv.17+	
60991	GEOLOGICAL//IRRESOLUTION	17.2	IN Lv.17	
60491	靈	18.0	END Lv.18	
59855	Evaniscentia	17.4	AT Lv.17	
59292	Oracle	17.2	AT  Lv.17	
59223	蜘蛛の糸	17.3	AT Lv.17	
59137	Collapse Of Ego	18.2	DJ! Lv.18+	
58831	Broken Fruitz	17.7	AT  Lv.18	
58222	YOUNITHM	17.8	AT Lv.17	
58135	Accelerate	18.3	AT Lv.18	
57928	Deep Blue	17.9	AT  Lv.17	
57590	Amnéhilesie	17.1	SKY  Lv.17	
57417	SUPER EMULATOR	18.2	AT Lv.18	
56981	Asphodelium_Eschatologia	17.7	AT Lv.17	
56930	Liar	18.4	AT Lv.18	
56848	Sendan Life(Katagiri Bootleg)	18.3	AT Lv.18	
56748	壱雫空	17.8	AT Lv.17+	
56717	Break the Speakers	18.3	AT Lv.18	
56637	THANK YOU FOR PLAYING	18.2	AT Lv.19	
55909	Viyella's Destiny	18.3	AT Lv.17+	
55124	躯樹の墓守	17.3	AT Lv.17	
54870	Reincarnation	17.9	AT Lv.17	
54802	DOMiNUS_GRAiL	17.4	AT Lv.17	
54781	深化論	17.6	AT Lv.17	
54659	Fated Dest1ny	18.8	AT Lv.18	
54559	Fragile, Aberrant Blossom	17.4	AT  Lv.17	
53789	Calamity of the Mystic Garden  Doom	17.9	AT Lv.17+	
53746	I	17.3	AT Lv.17	
53460	Queen Aluett -女王アルエット-	17.3	AT Lv.17	
53317	Dreamseeker	17.6	SP Lv.?	
53252	IF = Infinity	17.6	AT Lv.17	
53108	Ex-Otogibanashi (Anime ver.)	18.6	AT Lv.18	
53075	αterlβus (2025 Remaster)	17.2	AT Lv.16	
53070	Immaculate	17.3	AT Lv.17	
53030	Innocent	18.0	AT Lv.18	
52943	Bismuth	18.5	Bi Lv.?	
52928	Dreamseeker	17.8	AT Lv.17	
52897	Last Resort	17.8	AT Lv.17	
52858	Roquira Between Life and Death	19.1	Destiny Lv.0	
52848	俯瞰する廃墟(ZENITH 2026)	19.2	RUINS Lv.19	
52799	Unlimited Hyperlink	19.2	Unlimited Lv.19	
52674	Shizuku(feat.NEONA)	17.5	AT Lv.17	
52649	CALAMITY RHAPSODY	18.3	AT  Lv.18	
52626	I Can't Wait feat. GUMI	18.4	AT Lv.18	
52574	He asked me if I exercise and I said I play Wii Sports Resort	18.7	AT Lv.18	
52573	POTENTIAL	17.2	AT  Lv.17	
52558	To:Be Continued	18.0	AT Lv.18	
52549	Find You (Edit)	17.1	AT Lv.17	
52547	Traxxendenza	18.9	AT Lv.18	
52543	哀煉獄歌	19.1	AT Lv.19	
52541	超ナイト・オブ・ナイツ	18.2	AT Lv.18	
52482	Sphalerite	18.2	AT Lv.18	
52450	Bathin	17.9	AT Lv.17+	
52443	Immaculate	17.5	AT Lv.17	
52423	Exit This Earth's Atomosphere	18.5	AT Lv.17+	
52322	BF2014	18.3	AT Lv.18	
52262	Limen	18.1	Requiem Lv.18	
52086	悠久の翼 (ef - the first tale.より)	17.1	AT Lv.17	
51397	Gray Heaven	18.7	AT Lv.18	
51396	Qliphyshivh	18.4	AT Lv.17+	
51238	eden	17.8	AT Lv.17	
51202	LiFE Garden(1.05x)	18.3	AT Lv.18	
50956	Exitium	18.1	AT Lv.18	
50766	BLUE NOAH 2006	18.4	AT Lv.18	
50590	HYPER MEMORIES	18.4	AT Lv.18	
50580	Xaleid◆scopiX	18.7	AT Lv.18	
50347	Flower Forever	18.6	AT Lv.18	
50174	Loki	17.0	AT Lv.17	
50089	怪獣になりたい	17.3	AT Lv.17	
49567	百鬼֎夜行	17.6	AT  Lv.17	
49563	黎命に殉ず	18.1	AT Lv.18	
49215	CX-ronos	18.2	AT Lv.18	
49179	靈	18.5	AT Lv.17	
49135	KiLL∀ DEA7H	18.6	AT Lv.18	
49005	Archidoxen	17.3	AT Lv.17	
48995	百鬼֎夜行	17.5	AT Lv.17	
48824	Agni7EEE	18.6	AT LV.17	
48658	Future Downloader	18.7	FTR Lv.18	
47997	Sanctuary	17.5	AT Lv.17	
47555	AiAe	17.5	SKY Lv.17	
47448	Vicious Mockery	19.0	AT Lv.19	
47326	Exit This Earth's Atomosphere	18.4	AT Lv.18	
47269	Greeting into Abysschaos	19.0	AT Lv.18+	
47224	Absolute Disintegration	17.3	AT Lv.17	
47207	Dispersive Corruption	18.6	CL Lv.18	
47137	LAMIA	18.6	AT Lv.18	
47001	Submerged City	18.2	『水没都市』	
46694	IGNITE	17.4	AT  Lv.17	
46563	Infinity Heaven	18.2	AT Lv.18	
46486	Stellar:Dream	19.1	AT Lv.19	
46434	Oceanus	17.7	AT Lv.17	
46403	Crossmythos Rhapsodia	18.0	AT  Lv.18	
46348	ANTINEUTRINO WITCHCRAFT	18.7	AT  Lv.18	
46228	Submerged City	18.2	AT  Lv.18	
46200	DooM∞LighT	17.4	AT Lv.17	
45727	Total Eclipse of The Sun	18.6	AT Lv.18	
45651	耀斑	17.1	AT Lv.17	
45445	インドア系ならトラックメイカー	17.0	AT  Lv.17	
45431	M1LLI0N PP	18.4	AT Lv.18	
45360	雨露霜雪	17.2	AT Lv.17	
45346	Invisible Frenzy	17.1	AT Lv.17	
45005	Campanella	17.9	AT Lv.17	
44992	Dear Farthest You	19.1	AT Lv.19	
44985	the Tower of NIRV(ニルヴの心臓)	17.8	AT Lv.17	
44874	I Wanna	17.9	OLIVIER Lv.17	
44862	Alpharise	17.0	AT Lv.17	
44705	Xaleid◆scopiX	18.8	AT  Lv.◆	
44693	neu	18.2	AT Lv.18	
44584	Ruin in Cascade	18.6	REBORN	
44579	Eviternity	18.0	ST Lv.18	
44418	RoquiRa：Between Life and Death	18.5	AT Lv.17	
44265	Ragnarok	18.6	ECHOES OF EXTINCTION	
44259	赤壁、大炎上！！ (feat. おもしろ三国志)	17.1	AT  Lv.17	
44231	ω4	17.2	AT Lv.17	
44207	εxceζ	17.2	AT Lv.17	
44204	黎命に殉ず	17.9	AT Lv.17	
43988	Waking Shadows (feat. Eili)	18.5	AT  Lv.18	
43885	クウルッコ	17.0	AT Lv.16	
43761	星耀 【交锋】-Stars Shine 【Confrontation】	17.0	AT Lv.17	
43489	Fight Against the Past	19.3	TB.1	
43455	冥	18.4	AT Lv.18	
43185	ENDYMION	17.9	AT Lv.17	
43184	ディスコルディア	18.3	AT Lv.18	
43142	Xaleid◆scopiX	19.2	Re:AT Lv.19	
43052	B3611V	18.3	AT Lv.18	
42984	Clinozoisite	18.6	AT Lv.17	
42983	ouroboros -twin stroke of the end-	17.3	AT Lv.17	
42982	Booths of Fighters	17.6	AT Lv.17	
42963	翠杜	17.8	AT Lv.17	
42891	生命性シンドロウム (feat. 初音ミク)	17.5	AT Lv.17	
42846	World's end loneliness	17.0	AT 	
42722	Cyber Solitude	17.7	FD Lv.17	
42628	I Wanna	18.2	AT Lv.17	
42526	sølips	17.5	AT Lv.17	
42274	Cross Fire（Extended Mix）	17.1	AT Lv.17	
42204	Initial Light	17.3	AT  Lv.17	
42190	Möbius	18.5	AT Lv.17	
42181	N	17.6	FD Lv.17	
42178	Dance in Silence	17.0	AT  Lv.17	
42113	Xaleid◆scopiX	19.0	Re:AT Lv.18	
42058	Parallel Universe Shifter	18.8	AT Lv.18	
41822	壱雫空(Game Size)	17.8	AT Lv.18	
41695	Echoes Of Memoria	17.7	AT Lv.17	
41542	Śiva	17.5	AT Lv.17	
41270	silly-willy-nilly	18.0	AT Lv.17+	
41242	Apollo	18.1	AT Lv.18	
41236	不可逆的運命ディストピア	18.6	OLIVIER Lv.17	
41234	siren's eye	18.2	Tiebreaker Lv.17	
41228	Catch The Glory (Cut ver.)	17.7	AT Lv.17	
40981	Crossmythos Rhapsodia	18.6	AT Lv.18	
40587	Towards the 300	18.3	AT Lv.18	
40384	ULTiMATE INFLATiON	18.5	AT Lv.18	
